,INFLUENCEURS,SUIT OMAJ,SUIVI PAR OMAJ,TYPE DE CONTENU,engagée, vide dressing, mode consciente, sport, grandes tailles,écologie,durable, podcast, mobilier, nourriture, slow, vetementdocassion, vintage , slowfashion, vintage, écolo,ecologie,  durable, fashion,secondemain, couture, économie circulaire, photographe, mode, haul, économie responsable, ecofriendly, upcycling ,slow , durable,upcycling,slow, upcycling,économie circulaire, équitable,  femme,slowfashion, vinted , looks, mode éthique , engagée, vinted,mode éthique,animatrice télé, coloré,looks, slow , zérodéchet,vintage, luxe, ecofriendly , secondemain,économie responsable, secondevie, durable , mode éthique, écologie,zérodéchet, mode ,autrice, reconditionné,mode, design,friperie
18,aportugueseinparis,0,0," secondemain, engagée, vintage",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,charlottecstr,0,1,"mode, durable, slow, secondemain, durable",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,histoireseconde,0,1,"secondemain, vintage, engagée",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,_bycam._,1,1,"mode éthique, économie responsable, secondemain, upcycling ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,my.slow.days,0,1,"mode éthique, économie responsable, écologie, durable, slow",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,iamcathia__,0,0,"looks, vinted, secondemain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,aportugueseinparis,0,0,"looks, coloré, secondemain, couture, engagée",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,florettenacer,0,0,"looks, coloré, vintage, mode éthique, luxe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,unpeudelou,0,1,"slowfashion, mode éthique, engagée, durable",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,maileuhnaye,0,0,"secondemain, grandes tailles, looks, coloré, mode, économie responsable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
