;
Influencer;Betweenness_centrality
lesbonnesappes;1.0
juliettekitsch;0.83
lapetillante_ju;0.65
bonjourlasmala;0.65
maileuhnaye;0.51
aportugueseinparis;0.47
upcy_clo;0.40
mylittlewayoflife;0.37
jemerecycle;0.37
loren_soyonselegantes;0.34
